RNA_ID	DROP_GROUP	DNA_ID	INDIVIDUAL_ID	RNA_BAM_FILE	DNA_VCF_FILE	COUNT_MODE	PAIRED_END	COUNT_OVERLAPS	STRAND
GTEX-1117F-2426-SM-5EGGH	Uterus		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-0226-SM-5GZZ7	Adipose_-_Subcutaneous		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-3226-SM-5N9CT	Brain_-_Cortex		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-2526-SM-5GZY6	Vagina		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-1326-SM-5EGHH	Adipose_-_Visceral_Omentum		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-0726-SM-5GIEN	Heart_-_Atrial_Appendage		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-3026-SM-5GZYU	Minor_Salivary_Gland		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-2826-SM-5GZXL	Breast_-_Mammary_Tissue		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-0626-SM-5N9CS	Artery_-_Coronary		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-1117F-2926-SM-5GZYI	Skin_-_Not_Sun_Exposed_Suprapubic		GTEX-1117F	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1026-SM-5EGIL	Adipose_-_Visceral_Omentum		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0826-SM-5EGIJ	Esophagus_-_Gastroesophageal_Junction		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0626-SM-5EGHL	Esophagus_-_Muscularis		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0926-SM-5EGIK	Stomach		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0726-SM-5GZYD	Esophagus_-_Mucosa		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0126-SM-5GZWZ	Adrenal_Gland		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0326-SM-5GZXO	Lung		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0226-SM-5GZXC	Thyroid		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1126-SM-5EGIM	Skin_-_Not_Sun_Exposed_Suprapubic		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1426-SM-5GZYP	Colon_-_Transverse		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0526-SM-5EGHK	Pancreas		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1326-SM-5NQ8L	Small_Intestine_-_Terminal_Ileum		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1726-SM-5EGHM	Testis		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1226-SM-5EGIN	Colon_-_Sigmoid		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-0426-SM-5GZY1	Spleen		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-2026-SM-5GZZC	Muscle_-_Skeletal		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111CU-1826-SM-5GZYN	Adipose_-_Subcutaneous		GTEX-111CU	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0126-SM-5N9DL	Skin_-_Sun_Exposed_Lower_leg		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-1926-SM-5GZYC	Testis		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0626-SM-5N9CU	Heart_-_Atrial_Appendage		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-1126-SM-5GZWU	Lung		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0826-SM-5GZWO	Heart_-_Left_Ventricle		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0326-SM-5GZZ1	Muscle_-_Skeletal		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0526-SM-5GZZ8	Nerve_-_Tibial		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0226-SM-5N9B8	Adipose_-_Subcutaneous		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
GTEX-111FC-0426-SM-5N9CV	Artery_-_Tibial		GTEX-111FC	path_to_bam_file.bam	path_to_vcf_file.vcf	IntersectionStrict	True	True	no
